fixed_substrate,worm_per_substrate,total_substrates,perc_worm_sub,plot_type
Invertebrate,4,35,11.428571428571429,PCR -
Invertebrate,1,35,2.857142857142857,Not genotyped
Invertebrate,30,35,85.71428571428571,No nematode
Other,3,73,4.10958904109589,Caenorhabditis
Other,5,73,6.8493150684931505,Other PCR +
Other,19,73,26.027397260273972,PCR -
Other,9,73,12.32876712328767,Not genotyped
Other,10,73,13.698630136986301,Tracks only
Other,27,73,36.986301369863014,No nematode
Fungus,5,121,4.132231404958678,Caenorhabditis
Fungus,1,121,0.8264462809917356,Other PCR +
Fungus,23,121,19.00826446280992,PCR -
Fungus,14,121,11.570247933884298,Not genotyped
Fungus,25,121,20.66115702479339,Tracks only
Fungus,53,121,43.80165289256198,No nematode
Flower,40,202,19.801980198019802,Caenorhabditis
Flower,1,202,0.49504950495049505,Other PCR +
Flower,23,202,11.386138613861387,PCR -
Flower,16,202,7.920792079207921,Not genotyped
Flower,18,202,8.91089108910891,Tracks only
Flower,104,202,51.48514851485149,No nematode
Fruit/nut/veg,33,333,9.90990990990991,Caenorhabditis
Fruit/nut/veg,6,333,1.8018018018018018,Other PCR +
Fruit/nut/veg,45,333,13.513513513513514,PCR -
Fruit/nut/veg,47,333,14.114114114114114,Not genotyped
Fruit/nut/veg,32,333,9.60960960960961,Tracks only
Fruit/nut/veg,170,333,51.051051051051054,No nematode
Leaf litter,76,1480,5.135135135135135,Caenorhabditis
Leaf litter,63,1480,4.256756756756757,Other PCR +
Leaf litter,480,1480,32.432432432432435,PCR -
Leaf litter,206,1480,13.918918918918918,Not genotyped
Leaf litter,346,1480,23.37837837837838,Tracks only
Leaf litter,309,1480,20.87837837837838,No nematode
