isotype,admix_cluster_k11,max_fraction_admix_cluster_k11,strain,reference_strain,long,lat,state,country
QX1791,A,0.559108,QX1791,1,-156.3935,20.6344,Hawaii,United States
ECA706,A,0.856741,ECA706,1,-155.438922,20.038831,Hawaii,United States
DL238,A,0.999898,DL238,1,-155.81,19.11,Hawaii,United States
CB4856,A,0.9999,CB4856,1,-157.86,21.33,Hawaii,United States
ECA369,A,0.9999,ECA369,1,-157.006389,21.175556,Hawaii,United States
ECA703,A,0.9999,ECA703,1,-155.438922,20.038831,Hawaii,United States
ECA732,A,0.9999,ECA732,1,-155.81845,19.115403,Hawaii,United States
ECA733,A,0.9999,ECA731,0,-155.818386,19.115886,Hawaii,United States
ECA733,A,0.9999,ECA733,1,-155.818386,19.115886,Hawaii,United States
NIC242,B,0.438872,NIC242,1,-9.31609,38.691765,Lisbon Metropolitan Area,Portugal
JU2800,B,0.467065,JU2800,1,2.331,48.79,Île-de-France,France
JU2800,B,0.467065,JU2802,0,2.14167,48.9067,Île-de-France,France
MY2147,B,0.490751,MY2143,0,10.117737,54.346355,Schleswig-Holstein,Germany
MY2147,B,0.490751,MY2147,1,10.117737,54.346355,Schleswig-Holstein,Germany
MY2453,B,0.509916,MY561,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY564,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY570,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY713,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY792,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY819,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY864,0,7.599099,51.950723000000004,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY524,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY965,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2004,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2011,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2014,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2050,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2051,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2054,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2121,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2137,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2199,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2288,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2339,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2453,1,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2502,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2541,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,MY2579,0,7.536628,51.950777,North Rhine-Westphalia,Germany
MY2453,B,0.509916,JU3136,0,2.1725,48.7015,Île-de-France,France
JU2907,B,0.520035,JU2908,0,11.2839,43.8063,Tuscany,Italy
JU2907,B,0.520035,JU2907,1,11.2906,43.8021,Tuscany,Italy
JU2234,B,0.551605,JU2234,1,-1.583,47.227,Pays de la Loire,France
CB4932,B,0.604814,CB4932,1,-3.1,51.02,England,United Kingdom
JU440,B,0.648635,JU440,1,1.56,48.715,Centre,France
JU1543,B,0.65206,JU1543,1,2.1725,48.7015,Île-de-France,France
JU1896,B,0.654548,JU1896,1,23.749673,37.999722,Attica,Greece
JU1200,B,0.682998,JU1200,1,-4.6,55.577,Scotland,United Kingdom
JU1200,B,0.682998,JU2860,0,0.115365,52.19842,England,United Kingdom
JU1792,B,0.689435,JU1792,1,1.064289,46.63278,Centre-Val de Loire,France
JU2572,B,0.709448,JU2572,1,2.395372,48.81257,Île-de-France,France
ED3012,B,0.72135,ED3012,1,-3.19,55.92,Scotland,United Kingdom
JU1212,B,0.725328,JU1212,1,-3.81,48.71,Bretagne,France
JU2566,B,0.770245,JU2566,1,2.44599,48.83886,Île-de-France,France
JU311,B,0.782558,JU312,0,4.4,44.42,Auvergne Rhône-Alpes,France
JU311,B,0.782558,JU315,0,4.4,44.2,Languedoc-Roussillon,France
JU311,B,0.782558,JU319,0,4.4,44.42,Auvergne Rhône-Alpes,France
JU311,B,0.782558,JU311,1,4.4,44.42,Rhône-Alpes,France
JU311,B,0.782558,MY2481,0,10.117737,54.346355,Schleswig-Holstein,Germany
NIC1107,B,0.794023,NIC1107,1,7.266935,43.716278,Provence-Alpes-Côte d'Azur,France
JU2592,B,0.816724,JU2592,1,-2.403836,48.628558,Brittany,France
JU2575,B,0.83492,JU2575,1,3.0707,49.0857,Île-de-France,France
JU1586,B,0.861778,JU1586,1,1.06,46.63,Centre,France
JU367,B,0.945253,JU361,0,2.23,48.98,Île-de-France,France
JU367,B,0.945253,JU367,1,2.23,48.98,Île-de-France,France
CB4851,B,0.9999,ECA243,1,0.48,44.85,Aquitaine,France
ECA252,B,0.9999,ECA339,0,0.4948,44.8358,Nouvelle-Aquitaine,France
ECA252,B,0.9999,ECA252,1,-118.1,34.1,California,United States
JU1249,B,0.9999,JU1249,1,1.951,49.126,Île-de-France,France
JU1568,B,0.9999,JU1568,1,2.3862,48.8092,Île-de-France,France
JU2257,B,0.9999,JU2287,0,1.1,46.6,Centre-Val de Loire,France
JU2257,B,0.9999,JU2257,1,1.1,46.6,Centre-Val de Loire,France
JU2565,B,0.9999,JU2565,1,1.066213,44.958394,Nouvelle-Aquitaine,France
JU2825,B,0.9999,JU2825,1,2.3862,48.8092,Île-de-France,France
JU394,B,0.9999,JU400,0,-0.32,49.28,Lower Normandy,France
JU394,B,0.9999,JU394,1,-0.32,49.28,Basse-Normandie,France
JU406,B,0.9999,JU406,1,-0.32,49.28,Basse-Normandie,France
LSJ1,B,0.9999,LSJ1,1,-2.59,51.45,England,United Kingdom
N2,B,0.9999,ECA253,0,-2.59,51.45,England,United Kingdom
N2,B,0.9999,ECA254,0,-2.59,51.45,England,United Kingdom
N2,B,0.9999,N2,1,-2.59,51.45,England,United Kingdom
ED3011,C,0.335005,ED3011,1,-3.19,55.92,Scotland,United Kingdom
JU2017,C,0.40346,JU2017,1,-122.463177,37.757593,California,United States
JU2862,C,0.426445,JU2862,1,0.1264,52.1944,England,United Kingdom
CX11276,C,0.591298,CX11276,1,-118.21198,34.20111,California,United States
CX11307,C,0.59957,CX11307,1,-118.10987,34.12946,California,United States
CX11254,C,0.656296,CX11254,1,-118.114835,34.130138,California,United States
CX11285,C,0.662305,CX11285,1,-118.05496,34.14331,California,United States
JU2016,C,0.686517,JU2016,1,-122.463177,37.757593,California,United States
CB4853,C,0.692965,ECA245,0,-118.131,34.171,California,United States
CB4853,C,0.692965,ECA246,1,-118.131,34.189,California,United States
DL226,C,0.722598,DL226,1,-123.2821,44.5633,Oregon,United States
CX11292,C,0.727048,CX11292,1,-118.30582,34.13531,California,United States
JU1172,C,0.765549,JU1172,1,-73.04,-36.87,Región del Bío Bío,Chile
QX1212,C,0.806142,QX1213,0,-122.4331,37.7502,California,United States
QX1212,C,0.806142,QX1214,0,-122.4331,37.7502,California,United States
QX1212,C,0.806142,QX1212,1,-122.4331,37.7502,California,United States
CB4855,C,0.815787,ECA248,1,-122.14,37.44,California,United States
QX1233,C,0.855445,QX1233,1,-122.2838,37.8804,California,United States
CX11315,C,0.855784,CX11315,1,-118.10987,34.12946,California,United States
QG556,C,0.860267,QG558,0,-119.702021,34.421629,California,United States
QG556,C,0.860267,QG556,1,-119.702021,34.421629,California,United States
CB4857,C,0.999899,ECA249,0,-117.719,34.096,California,United States
CB4857,C,0.999899,ECA250,1,-117.719,34.096,California,United States
CB4858,C,0.9999,ECA251,1,-118.1,34.1,California,United States
CB4858,C,0.9999,AB2,0,138.59,-34.93,South Australia,Australia
CB4858,C,0.9999,AB3,0,138.59,-34.93,South Australia,Australia
CB4858,C,0.9999,AB4,0,138.59,-34.93,South Australia,Australia
CB4858,C,0.9999,JU1960,0,-118.131319,34.18973,California,United States
CX11262,C,0.9999,CX11262,1,-118.114835,34.130138,California,United States
CX11264,C,0.9999,CX11264,1,-118.114835,34.130138,California,United States
CX11314,C,0.9999,CX11314,1,-118.10987,34.12946,California,United States
ECA348,C,0.9999,ECA348,1,-122.253889,37.775334,California,United States
ECA349,C,0.9999,ECA350,0,-117.235442,32.765353,California,United States
ECA349,C,0.9999,ECA349,1,-117.236741,32.765758,California,United States
JU2866,C,0.9999,JU2866,1,-118.4409,34.0751,California,United States
PB306,C,0.9999,ECA259,1,NA,NA,,
PS2025,C,0.9999,PS2025,1,-118.13,34.19,California,United States
QG557,C,0.9999,QG557,1,-119.702021,34.421629,California,United States
JU2853,D,0.379173,JU2853,1,-7.545,41.19,Vila Real District,Portugal
NIC522,D,0.420282,NIC522,1,-6.304441,36.535679,Andalusia,Spain
JU2811,D,0.454041,JU2811,1,151.219453,-33.8632,New South Wales,Australia
NIC523,D,0.463138,NIC523,1,-6.29831,36.535679,Andalusia,Spain
BRC20263,D,0.493992,BRC20263,1,151.2069889,-33.86748611,New South Wales,Australia
JU2007,D,0.502314,JU2007,1,-1.32413,50.7608,England,United Kingdom
JU642,D,0.505091,JU642,1,2.5,48.84,Île-de-France,France
JU346,D,0.507458,JU345,0,4.4,44.42,Rhone-Alpes,France
JU346,D,0.507458,JU346,1,4.4,44.42,Languedoc-Roussillon,France
QW947,D,0.519928,QW947,1,-70.6106,-33.4213,Santiago Metropolitan Region,Chile
JU2906,D,0.520081,JU2906,1,11.2806,43.8023,Tuscany,Italy
QG536,D,0.522272,QG537,0,-122.4415,37.7679,California,United States
QG536,D,0.522272,QG538,0,-122.4415,37.7679,California,United States
QG536,D,0.522272,QG536,1,-122.4415,37.7679,California,United States
CB4854,D,0.533478,CB4854,1,-118.131,34.189,California,United States
NIC1,D,0.537592,NIC1,1,5.3543,43.279,Provence-Alpes-Côte d'Azur,France
ED3017,D,0.540785,ED3017,1,-3.19,55.92,Scotland,United Kingdom
AB1,D,0.542764,AB1,1,138.59,-34.93,South Australia,Australia
JU2534,D,0.553552,JU2534,1,0.097087,49.357921,Normandy,France
EG4946,D,0.569549,EG4946,1,-111.82184,40.72596,Utah,United States
NIC2,D,0.574788,NIC2,1,5.3543,43.279,Provence-Alpes-Côte d'Azur,France
JU1652,D,0.582993,JU1652,1,-56.19,-34.86,Departamento de Montevideo,Uruguay
JU2841,D,0.605505,JU2841,1,176,-40,,New Zealand
WN2002,D,0.611919,WN2002,1,5.694834,51.975285,Gelderland,Netherlands
JU2878,D,0.617716,JU2878,1,-99.098769,19.29732,Mexico City,Mexico
MY10,D,0.624069,MY10,1,7.53,51.96,Nordrhein-Westfalen,Germany
JU2464,D,0.626128,JU2467,0,-72.525,-13.155,Cusco,Peru
JU2464,D,0.626128,JU2468,0,-72.525,-13.155,Cusco,Peru
JU2464,D,0.626128,JU2464,1,-72.525,-13.155,Cusco,Peru
KR314,D,0.6276,KR314,1,-123.13,49.28,British Columbia,Canada
JU1409,D,0.644812,JU1401,0,-5.6331,37.4721,Andalusia,Spain
JU1409,D,0.644812,JU1409,1,-5.637,37.468,Andalucía,Spain
NIC511,D,0.664857,NIC511,1,14.2623855,40.8625,Campania,Italy
NIC207,D,0.670979,NIC207,1,7.24045,43.720505,Provence-Alpes-Côte d'Azur,France
JU2619,D,0.674056,JU2619,1,-117.275428,32.998352,California,United States
EG4347,D,0.675313,EG4347,1,-123.07108,44.04789,Oregon,United States
NIC255,D,0.679449,NIC255,1,7.266779,43.714834,Provence-Alpes-Côte d'Azur,France
ED3048,D,0.679556,ED3048,1,19.316667,-33.366667,Western Cape,South Africa
ED3048,D,0.679556,ED3042,0,19.316667,-33.366667,Western Cape,South Africa
NIC529,D,0.685008,NIC529,1,-4.784967,37.870754,Andalusia,Spain
JU1440,D,0.687095,JU1440,1,2.15231,41.41307,Catalunya,Spain
JU1440,D,0.687095,JU3133,0,2.1725,48.7015,Île-de-France,France
JT11398,D,0.690335,JT11398,1,-122.275484,47.763944,Washington,United States
MY2212,D,0.730147,MY2212,1,10.117737,54.346355,Schleswig-Holstein,Germany
PX179,D,0.730226,PX179,1,-123.058,44.035,Oregon,United States
JU1395,D,0.746648,JU1395,1,0.04619,47.2199,Pays de la Loire,France
ED3077,D,0.75534,ED3077,1,36.8,-1.316667,Nairobi County,Kenya
MY2535,D,0.756458,MY881,0,7.599099,51.950723000000004,North Rhine-Westphalia,Germany
MY2535,D,0.756458,MY2344,0,7.599099,51.950723000000004,North Rhine-Westphalia,Germany
MY2535,D,0.756458,MY2532,0,10.117737,54.346355,Schleswig-Holstein,Germany
MY2535,D,0.756458,MY2535,1,7.599099,51.950723000000004,North Rhine-Westphalia,Germany
MY2535,D,0.756458,NIC508,0,14.261756,40.86183,Campania,Italy
MY2535,D,0.756458,NIC512,0,14.2623855,40.8625,Campania,Italy
JU3128,D,0.758862,JU3128,1,15.2763,37.076,Sicily,Italy
NIC231,D,0.760836,NIC232,0,7.24045,43.720505,Provence-Alpes-Côte d'Azur,France
NIC231,D,0.760836,NIC231,1,7.24045,43.720505,Provence-Alpes-Côte d'Azur,France
NIC528,D,0.762944,NIC528,1,-6.29831,36.535679,Andalusia,Spain
JU3134,D,0.76489,JU3134,1,2.1725,48.7015,Île-de-France,France
